NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
Do you think you can make yourself easily understood in English ?,"Yes , I like travelling . I am young , and unmarried . It ?s no problem for me to travel frequently .",You can take that with you .,Thank you . And when is the latest time for me to board the plane ?,Why are you doggy-paddling ? I taught you how to swim ! Do your breast stroke !,It ?s fine . Jump in !,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",,,,,,,,,,,,
Are you available for travel ?,"I think it ?s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway .","No problem . I'll give you an aisle seat in the center row . And here is your ticket , passport and boarding pass . Please board the plane at Gate 15 .",Thank you very much !,Try kicking your legs more . That ?s good . Don ?t go out too far !,Ahahah ! ! ! Help me ! Help ! Bring the boat closer ! The shark is coming straight towards me !, I baked you a cake but I ated it ...,,,,,,,,,,,,
how long will it take us to drive to London ?,"you ?re right . We will be able to travel at high speeds at the beginning and end of the journey , because we will be in built-up areas .",15mins before the plane takes off . The plane is scheduled to leave on time .,"I have worked as an executive secretary for 5 years , first for trading companies , and now I am working for a trust company . I interact well with peers , clients , administrators and bosses . I thrive on challenge and work well in high-stress environments .",Kathy ! Get back here ! I see a shark !,my husband and I got married in a registry office with just two friends there as witnesses . But then we had three parties to celebrate .,this week is not going as i had hoped ,,,,,,,,,,,,
that ?s unless there is a traffic jam . It could take three hours .,"ok . You haven ?t seen my company car , have you ?",You are welcome ! Have a nice flight .,I can type 100 Chinese words a minute and take dictation in English at 150 words a minute .,It ?s right under you ! Kathy ! ! !,"well , since my husband and I are from two different countries , and we live in a third country , we decided to have one in each country . It wasn't actually that expensive .",blagh class at 8 tomorrow ...,,,,,,,,,,,,
"so , shall we allow three hours to cover the distance ?",I think it ?s over five meters long . I can ?t remember exactly . It has a maximum speed of over 200 kilometers an hour .,Tell me about yourself and your past experience .,"Yes , I can . I have received some special training in computers . Besides I am good at operating common office machines , such as fax machines and duplicating machines .","what was your wedding ceremony like , Abigail ?","I would have liked them to be there , but they couldn ?t afford to fly out to see us , and we couldn't afford to fly out to see them , so they understood .",I hate when I have to call and wake people up ,,,,,,,,,,,,
no . let me take a look ... it ?s longer than my car .,"we can ?t . if we went that fast , we would break the speed limit .",How are your typing and shorthand skills ?,That's all right . But could you tell me how often and how many hours I should work overtime ?,three parties ? That's quite a lot . That must have been expensive !,"my husband's parents flew out to meet my family when we got married in my hometown , so that was great . Some people spend ridiculous amounts of money on extravagant wedding receptions , but we agreed t",Just going to cry myself to sleep after watching Marley and Me.  ...,,,,,,,,,,,,
wow ! That ?s fast ! I don ?t think we will be traveling that fast on the motorway .,Do you want the truth ?,Can you operate computers skillfully ?,"Mr . Smith , I's like to ask you a question .",were your parents upset that they weren't there to see you get married ?,we waited until our one-year anniversary to go on our honeymoon to Africa .,im sad now  Miss.Lilly,,,,,,,,,,,,
So how did I do on my driving test ?,"Well , you really didn't do all that well .",Sometimes we are very busy and need to work overtime . How do you feel about that ?,What specific duties would I perform if I am hired ?,did your husband's family get to meet your family ?,"not at all , but we don ?t have a very traditional marriage either , so it suited us perfectly !",ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ...,,,,,,,,,,,,
"Of course , I do .","To be completely honest , you failed your test .","It just depends . If we have important visiting delegations , you have to stay with us . It's not unusual .",Yes . I specialized in English secretary studies at college and that's one of the main parts of my present job .,that makes sense . Did you go on a honeymoon ?,"I'd love to , the movies are smash hit .",Meh... Almost Lover is the exception... this track gets me depressed every time. ,,,,,,,,,,,,
How bad did I do ?,There were a number of reasons .,"OK , please .",I really need more information about the job before we start to discuss salary . Maybe you could tell me what is budgeted for the position .,"you really didn't have a very traditional wedding , did you ?","I can't . I'm waiting for Paul , but he's late .",some1 hacked my account on aim  now i have to make a new one...,,,,,,,,,,,,
How ?,"Basically , you just can't drive .","Nothing different from a secretary's common responsibilities . However , you know , our company is an international trade-oriented company , can you handle English papers and write English correspondence ?",I think it's acceptable and I really like the job . And when can I know the decision ?,"Oh , hi , Jessica , are you going to see this movie too ?",I know . I wonder what's keeping him ., I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though...,,,,,,,,,,,,
What were they ?,You can take it in a couple weeks .,What are your salary expectations ?,No . Thank you for the time .,Then let's go in .,"Yeah , a number of times .",thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,,,,,,,,,,,,
Can I have another try ?,"Good morning , doctor . I have a terrible headache .","The starting monthly salary would be ?2,000 , with rises after the half year according to your competence .",We have to equip our company with a network of work stations at every office and show room as soon as possible .,I'll say the movie's starting in the minute .,I don't know . But this is definitely the last straw ., awe i love you too!!!! 1 am here  i miss you,,,,,,,,,,,,
Good morning . What's the matter with you ?,Yesterday I had a runny nose . Now my nose is stuffed up . I have a sore throat . And I ?m afraid I've got a temperature . I feel terrible .,We'll inform you of our final decision by early July . Do you have any other questions ?,"Besides , Internet tends to be more essential now in the information age .","Looks like he won't show up . He's done this before , hasn't he ?","You said it . Ok , let's go in , Sandy .", I cry my asian eyes to sleep at night ...,,,,,,,,,,,,
"All right , young man . Tell me how it got started .",Ah .,What do you think about the equipment in our company ?,"And , to be frank , our copying machines are too slow ; our telephone system is limited in function .",What's he trying to pull anyway .,I ?m going to visit my brother . he ?s just had a baby . He lives in Minneapolis .,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,,,,,,,,,,,,
"Don't worry , young man . Lat me give you an examination . First let me take a look at your throat . Open your mouth and say'ah ' .",What am I supposed to do then ?,I also realized this issue . And office automation is essential .,I need to book a plane ticket to London .,Maybe you should start seeing someone else .,"I ?ll be here for approximately three weeks . See , here ?s my return ticket for the twenty-sixth of March .", ill tell ya the story later  not a good day and ill be workin for like three more hours...,,,,,,,,,,,,
Your throat is inflamed . And your tongue is heavily coated . You have all the symptoms of influenza .,Thank you very much .,Good idea . A network of work stations is helpful for our management .,One-way .,"So , you ?re applying for a B2 visa , where is your final destination and what ?s the purpose of your trip to the United States ?","My brother , here , this is an invitation letter from him . I will stay with him and his family in their home .", sorry! bed time came here (GMT+1)   ...,,,,,,,,,,,,
"A good rest is all you need , and drink more water . I'll write you a prescription .",Red cooked carp and rape with fresh mushrooms .,"You are right . The current equipment of our offices really falls behind . Next week , you can provide me a catalogue of new equipment .","Saturday , July 25 .",And how long do you you plan to remain in the United States ?,"Well , I own a house . actually , I ?m leaving my dog there with my neighbors . I have a car at home , and oh , my job ! I ?m employed by Tornal as an engineer . Actually , I only have three weeks ?vacation , so I have to go back to work at the end of March .", I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ...,,,,,,,,,,,,
"My dear , what's for supper ?",Sour-peppery soup .,Thank your for calling World Airline . What can I do for you ?,Just one adult .,"And , who is sponsoring your trip ?","Well , I do have assets in my country . like I said , I own a house , and see , here ?s a bank statement showing my investments , and my bank balance .",Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,,,,,,,,,,,,
What about soup ?,"I'll use ginger , garlic scallion , hot pepper and vinegar .",Round-trip or one-way ?,"Economy , please . Economy class is the cheapest , right ?","Alright , tell me about the ties you have to your home country .","Well , I am a bit out of shape . I'm thinking about getting some exercises to keep fit .",really don't feel like getting up today... but got to study to for tomorrows practical exam... ...,,,,,,,,,,,,
Which condiment do you use for ?,"No , don't need , I can do myself .",What date would you like to fly ?,I would like for you to come in and talk about a few more tests that I would like to run .,And what evidence do you have that you are financially independent ?,So what do you provide ?,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,,,,,,,,,,,,
"Very good , need I help you ?",But you must cook that dinner next time .,How many people will be traveling ?,I just want to talk to you about the tests that I want to run .,"I ?m sorry , sir , we cannot grant you a B2 visa at this time , instead , you are granted a resident visa ! Congratulations , you are the millionth person to apply for a visa ! You win ! Congratulations !",How can you get that done ?,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",,,,,,,,,,,,
Thanks . I can watch TV now .,Mike ! Good to hear from you . How are you ?,Which class ?,I don ?t know anything for certain . We always do a double check if there is a question .,"Good afternoon , madam . How can I help you ?",What else ?, Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,,,,,,,,,,,,
"Okay , I'll do it next time .",Things are going well with me .,"Right . Ok , the fare is $ 700 .","You can come in this afternoon . If you are feeling too stressed , feel free to bring a friend along .","Oh , that's good news for us .",Sounds pretty good . What about the charge ?,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family....,,,,,,,,,,,,
"Hello , this is Mike , Kara .","Mike , I don't think that it's a good idea to go out again . I really need to focus on getting packed and ready to move back home .","Hello , the nurse said that you might have my test results in from the other day .",Don ?t worry about a thing ; we are just taking a second look and talking .,"First of all , we'll design a custom-made work-out plan according to your habits .",Maybe one month . Just have a try first . Not too tough at the beginning ., Yay! I'm happy for you with your job! But that also means less time for me and you... ,,,,,,,,,,,,
"Everything is fine , and how are you ?","I can't really deal with any distractions right now , but I appreciate the nice evening we spent together .",Does this mean that you have bad news for me ?,"Yes , I am sure I can .","Well , we give each of our customers a personal trainer who is qualified . And he will give you a fitness assessment and then come up with the work-out plan for your needs .",Not really . I could take it or leave it .,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",,,,,,,,,,,,
"Kara , I had fun the other night at the movies and was wondering if you would like to go out again this Friday .","Yes , I have booked a room for 24th . It's a double room .",Can ?t you just tell me now ?,"Yes , I think I am quite proficient in both written and spoken English .","Since everyone is different , your personal trainer will find you a suitable type of exercise equipment and teach you all the techniques to help you achieve your fitness level and goal .",How can you do that ?,Oh man...was ironing 's fave top to wear to a meeting. Burnt it ,,,,,,,,,,,,
Maybe we could just meet for coffee or something .,"Well , now I want to change the date from 24th to 28th .",I want to see you right away .,"Yes , I think I can in ordinary circumstances .","That depends . We offer membership for one month , half a year and one year .",My name is Jung Min . What's your name ?,is strangely sad about LiLo and SamRo breaking up. ...,,,,,,,,,,,,
Sun-set hotel . May I help you ?,I'm free . What's up ?,I know for sure that something is wrong !,"Yes , I think I speak English quite fluently . I got a high score on TOEFL . I majored in English in college .",Wise decision . You'll find it's totally worth it .,Yes . It's nice to meet you too . Are you a new student too ?, oh! i'm so sorry  i didn't think about that before retweeting.,,,,,,,,,,,,
"Hold on , please . Let me check it for you . Yes , you're right . You will keep it for 3 days .","Oh , I just remembered I've got a report to write .",You would be using mainly English in this job . Do you think you could manage ?,Thank you for noticing ! I've been making a few lifestyle changes over the past year .,Do you watch a lot of TV ?,Yeah . It's pretty exciting to be here .,Broadband plan 'a massive broken promise'  via www.diigo.com/~tautao Still waiting for broadband we are ...,,,,,,,,,,,,
"OK , that shall be arranged .",It's ten after six.We ' re late.But dinner is at six thirty .,Do you think you are proficient in both written and spoken English ?,"Well , it all started when my brother challenged me to quit smoking .",Not me . I have to have my TV and watch whatever comes on .,"I'm from Korea . My parents wanted me to go to an American university , so I came here ."," Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",,,,,,,,,,,,
Are you busy tomorrow morning ?,I'll call the lost and found office .,Do you think you can make yourself understood in English with ease ?,"When I kicked that habit , I found I had so much more energy . I started exercising .",Hi . What's your name ?,Why were you in Japan ?,our duck and chicken are taking wayyy too long to hatch ...,,,,,,,,,,,,
Someone has to pick up the boss at the airport .,Do you have the ' The man and the Sea ' by Ernest Hemingway ?,Do you think you can speak English quite fluently ? Tell me about your English education .,No . I like to be outside . I took up hiking and mountain biking .,My name is Jessica . It's nice to meet you .,That's pretty cool .,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",,,,,,,,,,,,
I'm sorry I'm so late . I had a really bad day .,Can you hold it for me ?,You are looking really healthy lately . What are you doing differently ?,"Thank you . I ?m pleased to meet you , Mr . Brown . My name is Kathy Pewless , the representative of Green Textile Import and Export Corporation .",No . I'm a sophomore . I take it you are a new student ?,"Well , if you ever want to visit Korea , I would be happy to show you around .",I need a hug ...,,,,,,,,,,,,
I know . I know . I'm really sorry . I lost my bag .,"Yes , here you are .",Tell me about it . I'm interested .,"Thank you for saying so . Have you seen the exhibition halls ? On display are most of our products , such as silk , woolen knitwear , cotton piece goods , and garments .",Have fun while it lasts . The excitement wears off real quick . Especially after you see how much homework you get . Where are you from ?,Ok .," Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",,,,,,,,,,,,
I didn't think of it.Thank you.And I do apologize for being late .,It's free of charge .,Ha ! That's right . You used to smoke . I forgot !,Our silk is known for its good quality . It is one of our trade - trional exports . Silk blouses are brightly colored and beau - fully designed . They ?Ve met with great favor overseas and are always in great demand .,"I have never been to Korea . I've been to Japan before , but never Korea .",Who ?, I hate when that happens... ...,,,,,,,,,,,,
Nani Book Store . How can I help you ?,"No problem at all . Could I have your full name , please ?",At the gym ?,"Sure . What do you need the most help with , the food or entertainment ?",My father thought it would be a good experience to take a vacation to a different country . He's so into learning about different cultures .,"That bad egg , who took the low road since he was a boy .","I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",,,,,,,,,,,,
"Yes , we have one copy left .","Hi , Mr . Sandals . I'm Michelle , at your service . When do you need the room ?",Good morning . My name is Mr . Brown . I ?m from Australia . Here is my card .,"OK , well , let's coordinate our efforts . Should this party be formal or casual ?",I thought it would have been more fun if I went without my parents .,Ok .,Ugh....92 degrees tomorrow ,,,,,,,,,,,,
Do you have maps of downtown area ?,"We have new room rates , sir . Will that be acceptable to you ?","Pleased to meet you too , Ms . Pewless . I travel a lot every year on business , but this is my first visit to your country . I must say I have been much impressed by your friendly people .","I agree . Next , we have to decide on food . We have a choice of Chinese or Continental Cuisine . Which one should we have ?","Thanks for the offer . I'll keep that in mind . Oh , the professor is coming . We'll talk more after class .","Eh , so so .",Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well....,,,,,,,,,,,,
How much is it ?,It's $ 308 a night .,"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ?Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ?Ve got some idea of your exports . I ?m interested in your silk blouses .","Perfect choice . For music , should we have a live band or a DJ ?",Guess who I saw just now ?,"Nah , not too flashy ."," I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?...",,,,,,,,,,,,
Thanks so much .,Great ! Would you prefer smoking or nonsmoking ?,Can you help me plan the office party ?,"OK then . Well , I will work on my part and get back to you with my progress on Friday .","John Smith , the escaped criminal .",I guess .,just leaving the parking lot of work! ,,,,,,,,,,,,
"Hi there , I want to reserve a hotel room .","Nonsmoking . Now , is a queen-size bed okay ?",I need help with food .,"No problem . Now , do you prefer working with others or flying solo ?",I think I must report to the cops .,"And I ?m trying to watch the game , but you ?re yapping on about your new clothes !",The Life is cool. But not for Me. ,,,,,,,,,,,,
"Sure , John Sandals .","Great , Mr . Sandals . Your reservation is confirmed . Now all I need is your phone number .",I think it should be casual .,"So , what is most important to you in a job ? Do you need job security or professional growth and a chance to advance ?",What do you think of this one ?,Well could you do me the favor of making this quick ? It ?s the third quarter and you ?Ve been blabbering on since the first !,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ...",,,,,,,,,,,,
My plans are to be there April 14th to the 17th .,"Thank you so much , Mr . Sandals . We look forward to seeing you !",I would prefer Chinese food for this party .,Would you be able to relocate ?,And this one ? Too flashy ?,"Oh no you didn ?t . You didn ?t just insult the Sals-bury Seals , did you ? Why don ?t you just . just go and return all of those stupid clothes and not come back until the sales are over ?",I had such a nice day. Too bad the rain comes in tomorrow at 5am ...,,,,,,,,,,,,
"Well , it depends on the price , of course . What is it ?","Certainly , sir .",I think we should hire a live band .,What are your annual salary requirements ?,Hug ! And this sweater from my aunt ? Isn ?t it hideous ?,"Yes , fine . I had something wrong with my stomach . I won ?t go into detail , but it wasn ?t serious .", too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ...,,,,,,,,,,,,
I have no problem with that .,"I'm sorry , sir . What seems to be the trouble ?",Good morning . Thank you for the interview .,I ?ll keep that in mind . Thank you for coming in today . We ?ll be in touch .,Are you even listening ? I ?m trying to have a conversation with you .,"I think most people are a little nervous about it . I was really very , very nervous just before I had the operation , but the anaesthetist gave me an anaesthetic and the next thing I remember was waking up after the operation .",Damm back to school tomorrow ,,,,,,,,,,,,
Definitely nonsmoking . I can't handle that smell .,"I'll just go and check it for you , sir .","Actually , I enjoy both .","Yes , it is . Please put your luggage on this scale .",Well I have to decide which gifts to keep and which to exchange for better ones when I go to the Boxing Day sales this afternoon !,"Well , the nurse game me plenty of painkillers , but it did feel uncomfortable . I wasn ?t permitted to eat anything for 48 hours . That was the worse thing .","Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",,,,,,,,,,,,
No problem .,Yes . I bought this sheet here yesterday .,I need job security .,"Yes , it is . How many pieces of hand luggage do you have ?","Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals !","I certainly was ! However , the doctor gave me a list of food I couldn ?t eat for another 72 hours , and steak was on the list !",  Not forever... See you soon!...,,,,,,,,,,,,
Of course ! It's area code 626-555-1739 .,"Yes . When I spread it out back home , I found this hole .",I am open to relocating .,Yes . Come with me to the vitamin section .,I might just ! Enjoy your stupid game !,"No , not at all . I stopped taking painkillers after a couple of days ."," agreed, I saw the failwhale allllll day today. ",,,,,,,,,,,,
"Could I have my bill , please ?",Here it is .,"I need at least 75,000 per year .","You're looking for a multi though , right ?",Hello . Nice to see you again . I heard you went into hospital for a few days to undergo surgery . I hope everything ?s OK .,"Oh , yes . The nurse were very kind , though they were strict about what I could drink . In the end , I just drank water and nothing else . Everyone was very professional and I actually enjoyed some aspects of my stay .", Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!...,,,,,,,,,,,,
I'm afraid there's been a mistake .,That's very kind of you . Thank you .,Is the right counter to check in for this flight ?,Okay . Then I recommend this one . It's made especially for men about your age .,I really dislike going to a doctor or to a hospital .,I had a fantastic time ., I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,,,,,,,,,,,,
"I believe you have charged me twice for the same thing . Look , the figure of 6.5 dollar appears here , then again here .",Perhaps you'd be interested in red roses .,OK . Is the plane on schedule ?,That's my job ! Is there anything else I can assist you with ?,It must have really hurt afterwards .,"Everything goes well , but I am thinking about quitting my current job .",i really hate how people diss my bands!  Trace is clearly NOT ugly!...,,,,,,,,,,,,
"Good evening , madam . Can I help you ?",They're only $ 20 a dozen .,Two .,Okay . Is your hair naturally curly or is it a perm ?,I bet you were ready for a thick juicy steak when you got out of hospital .,"I just sense . But I cannot grow anymore . My boss is not really supporting me . I am interested in some positions in other JV companies , but I need to do some more in-depth research before I send my application letters out .","Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls....",,,,,,,,,,,,
Anything wrong with it ?,"Yes , that is today's sale price .",I'm looking for a good multivitamin . Can you recommend one ?,That's my specialty . Let me put this around your neck .,Is there any pain now ?,"Certainly , it is very nice talking with you . But I really have to go now . Catch you later .",Why won't you show my location?!   ,,,,,,,,,,,,
"Oh , how awful ! May I have a look at the invoice ?",Is there anything else you'd like to get ?,"I knew there would be a few choices , but this selection is huge !","With the cut I'll give you , we will minimize a lot of that .",Did they take good care of you in the hospital ?,Yeah . But he soon feel regretted for it .,No picnic  my phone smells like citrus....,,,,,,,,,,,,
"Well . please accept our sincere apologies , I'll be glad to change it for another one if you wish .",These roses should make your wife very happy .,That's right . Just a simple multi-vitamin that I can take every day .,"And when we're done , I'll show you some great stuff to take care of the rest .",How was the party ?,He is more nice than wise .," My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ...",,,,,,,,,,,,
"We're sorry that this has happened , and I guarantee that the same mistake won't happen again .","Yes , I am afraid there are not enough outlets .",Oh ! You took the guesswork right out of that one .,Okay . Say when .,"Hi , Monica , how is everything going ?","Yes , is that you , Allen ?",No new csi tonight.  FML...,,,,,,,,,,,,
I need to buy some flowers for my wife .,"Yes , but 4 of them are broken . Can you send someone here ?",I only want a little off the top and the sides and back to have clean lines .,I'm not in the mood .,Why ? You ?re not satisfied anymore ?,Not bad .,i think my arms are sore from tennis ,,,,,,,,,,,,
What would the roses cost me ?,Are you aware that you drove through a red light ?,It's natural . My friend told me you know how to work with curls .,I don't want to sit there and watch them torturing the animals .,That is important . Doing research on a company you are interested in will definitely help your application .,Sure.Thank you very much .,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ...,,,,,,,,,,,,
I like the sound of that .,"Yes , you did .",Do you have any product that controls frizz ?,Cute ? Hope so .,"Ok , good luck to you .","Ok , see you .",sleep soon... i just hate saying bye and see you tomorrow for the night. ...,,,,,,,,,,,,
A dozen will be fine .,"Weren't you taught that yellow means slow down , not speed up ?",Thank you !,"Me ? No way , keep him away from me , please .","Henry married Rose only after her father's money , didn't he ?","Yeah , I'm worried . If it's like this tomorrow , our big outdoor party will have to be canceled ."," just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ...",,,,,,,,,,,,
